race_analysis_id,season,round,event,race_name,session_id,circuit,race_date,winner,winner_team,driver_count,classified_driver_count,stint_count,pit_stop_count,weather_available,race_control_available,analysis_quality_score,generated_at,build_version,freshness_status
2026-01-albert_park,2026,1,Australian Grand Prix,Australian Grand Prix,2026_01_R_Australian Grand Prix,albert_park,2026-03-08T04:00:00Z,RUS,Mercedes,22,22,53,32,True,False,0.999,2026-08-24T18:51:07Z,race-analysis-v1,ready
2026-02-shanghai,2026,2,Chinese Grand Prix,Chinese Grand Prix,2026_02_R_Chinese Grand Prix,shanghai,2026-03-15T07:00:00Z,ANT,Mercedes,22,22,41,19,True,False,0.997,2026-08-24T18:51:07Z,race-analysis-v1,ready
2026-03-suzuka,2026,3,Japanese Grand Prix,Japanese Grand Prix,2026_03_R_Japanese Grand Prix,suzuka,2026-03-29T05:00:00Z,ANT,Mercedes,22,22,51,29,True,False,0.997,2026-08-24T18:51:07Z,race-analysis-v1,ready
2026-04-miami,2026,4,Miami Grand Prix,Miami Grand Prix,2026_04_R_Miami Grand Prix,miami,2026-05-03T20:00:00Z,ANT,Mercedes,22,22,44,22,True,False,0.999,2026-08-24T18:51:07Z,race-analysis-v1,ready
2026-05-villeneuve,2026,5,Canadian Grand Prix,Canadian Grand Prix,2026_05_R_Canadian Grand Prix,villeneuve,2026-05-24T20:00:00Z,ANT,Mercedes,22,22,56,34,True,False,0.999,2026-08-24T18:51:07Z,race-analysis-v1,ready
2026-06-monaco,2026,6,Monaco Grand Prix,Monaco Grand Prix,2026_06_R_Monaco Grand Prix,monaco,2026-06-07T13:00:00Z,ANT,Mercedes,22,22,108,86,True,False,0.996,2026-08-24T18:51:07Z,race-analysis-v1,ready
2026-07-catalunya,2026,7,Barcelona Grand Prix,Barcelona Grand Prix,2026_07_R_Barcelona Grand Prix,catalunya,2026-06-14T13:00:00Z,HAM,Ferrari,22,22,70,48,True,False,1.0,2026-08-24T18:51:07Z,race-analysis-v1,ready
2026-08-red_bull_ring,2026,8,Austrian Grand Prix,Austrian Grand Prix,2026_08_R_Austrian Grand Prix,red_bull_ring,2026-06-28T13:00:00Z,RUS,Mercedes,22,22,63,41,True,False,1.0,2026-08-24T18:51:07Z,race-analysis-v1,ready
2026-09-silverstone,2026,9,British Grand Prix,British Grand Prix,2026_09_R_British Grand Prix,silverstone,2026-07-05T14:00:00Z,LEC,Ferrari,22,22,73,51,True,False,0.997,2026-08-24T18:51:07Z,race-analysis-v1,ready
2026-10-spa,2026,10,Belgian Grand Prix,Belgian Grand Prix,2026_10_R_Belgian Grand Prix,spa,2026-07-19T13:00:00Z,ANT,Mercedes,22,22,50,28,True,False,0.99,2026-08-24T18:51:07Z,race-analysis-v1,ready
2026-11-hungaroring,2026,11,Hungarian Grand Prix,Hungarian Grand Prix,2026_11_R_Hungarian Grand Prix,hungaroring,2026-07-26T13:00:00Z,NOR,McLaren,22,22,67,45,True,False,1.0,2026-08-24T18:51:07Z,race-analysis-v1,ready
2026-12-zandvoort,2026,12,Dutch Grand Prix,Dutch Grand Prix,2026_12_R_Dutch Grand Prix,zandvoort,2026-08-23T13:00:00Z,NOR,McLaren,22,22,86,64,True,False,0.995,2026-08-24T18:51:07Z,race-analysis-v1,ready
