id,season,round,race_name,official_name,circuit_id,scheduled_at,sprint_weekend
2026-01-albert_park,2026,1,Australian Grand Prix,,albert_park,2026-03-08T04:00:00Z,False
2026-02-shanghai,2026,2,Chinese Grand Prix,,shanghai,2026-03-15T07:00:00Z,True
2026-03-suzuka,2026,3,Japanese Grand Prix,,suzuka,2026-03-29T05:00:00Z,False
2026-04-miami,2026,4,Miami Grand Prix,,miami,2026-05-03T20:00:00Z,True
2026-05-villeneuve,2026,5,Canadian Grand Prix,,villeneuve,2026-05-24T20:00:00Z,True
2026-06-monaco,2026,6,Monaco Grand Prix,,monaco,2026-06-07T13:00:00Z,False
2026-07-catalunya,2026,7,Barcelona Grand Prix,,catalunya,2026-06-14T13:00:00Z,False
2026-08-red_bull_ring,2026,8,Austrian Grand Prix,,red_bull_ring,2026-06-28T13:00:00Z,False
2026-09-silverstone,2026,9,British Grand Prix,,silverstone,2026-07-05T14:00:00Z,True
2026-10-spa,2026,10,Belgian Grand Prix,,spa,2026-07-19T13:00:00Z,False
2026-11-hungaroring,2026,11,Hungarian Grand Prix,,hungaroring,2026-07-26T13:00:00Z,False
2026-12-zandvoort,2026,12,Dutch Grand Prix,,zandvoort,2026-08-23T13:00:00Z,True
2026-13-monza,2026,13,Italian Grand Prix,,monza,2026-09-06T13:00:00Z,False
2026-14-madring,2026,14,Spanish Grand Prix,,madring,2026-09-13T13:00:00Z,False
2026-15-baku,2026,15,Azerbaijan Grand Prix,,baku,2026-09-26T11:00:00Z,False
2026-16-sepang,2026,16,Bahrain Grand Prix in Malaysia,,sepang,2026-10-04T07:00:00Z,False
2026-17-marina_bay,2026,17,Singapore Grand Prix,,marina_bay,2026-10-11T12:00:00Z,True
2026-18-americas,2026,18,United States Grand Prix,,americas,2026-10-25T20:00:00Z,False
2026-19-rodriguez,2026,19,Mexico City Grand Prix,,rodriguez,2026-11-01T20:00:00Z,False
2026-20-interlagos,2026,20,Brazilian Grand Prix,,interlagos,2026-11-08T17:00:00Z,False
2026-21-vegas,2026,21,Las Vegas Grand Prix,,vegas,2026-11-22T04:00:00Z,False
2026-22-losail,2026,22,Qatar Grand Prix,,losail,2026-11-29T16:00:00Z,False
2026-23-yas_marina,2026,23,Abu Dhabi Grand Prix,,yas_marina,2026-12-06T13:00:00Z,False
